"reporter_id","name","outlet_id","city","state","country_code","associations","topics","twitter_description","pitch","last_updated","active"
85382,Michael Griffiths,16039,,,GB,"111071, 18745, 57818","Crime, Law, News, Crime And Justice, European Union",News editor and covering sanctions for Global Investigations Review.  in . Also runs @FARAupdates. Still some UK corporate crime stuff. DMs open.,,2024-08-22 07:16:54.000,false
1308596,Muhammad Adil,,Peshawar,Khyber Pakhtunkhwa,PK,"322265",,,,2024-04-08 07:37:16.000,true
519587,Laura Waddell,55500,Glasgow,Scotland,GB,"37450, 24224, 27445, 25525, 32757, 31635, 30927",,UK Publishing Director @tramppress + Author of Exit (Sept '20/@bloomsburypub) + Award-winning weekly columnist @thescotsman + Board of @gutter_magazine,,2024-02-19 11:09:54.000,false
560530,Thomas Brinsko,,League City,Texas,US,"3892","Board Industry, Business, Chemical Industry, Energy, Gas, Oil, Paper, Petroleum, Power",,,2023-03-03 11:11:23.000,true
180513,Ken Griner,,,,US,"43149",Sports,,,2024-08-22 07:15:59.000,false
200692,David Plunkett,41922,Asheville,North Carolina,US,"2702","Science, HealthMotore, Local News, National News, News, International News, Health, Government, Regional News",News 13 WNC’s News Leader serving Asheville Hendersonville Rutherfordton Waynesville Weaverville Brevard and all points in between Also at http://facebook.com/news13,"David Plunkett is a Producer at WLOS-TV. David produces shows on International news, Local news and National news.  David was formerly a Producer at News 13 This Weekend-WLOS-TV. David was formerly a Producer at News 13 @ 5:30 - WLOS-TV. David was formerly a Producer at News 13 Nightcast Weekend - WLOS-TV. David prefers being contacted by Email.",2024-08-22 07:15:59.000,false
32096,Jen Psaki,350635,,District of Columbia,US,"2073, 29809, 17613, 13651, 14878, 32336, 11626, 32471, 23839, 267614, 34593, 10650, 10611, 3977, 41464, 20473","Democrats, Security, Term, Books","Mom of two humans under five, former WH Comms Chief and State Dept spox, @CNN contributor",,2024-08-22 07:15:59.000,false
213440,Jeanette Kendall,,,,US,"30095",News,"Times News Group: Pekin Daily Times, Chillicothe Times-Bulletin, Washington Times-Reporter, East Peoria Times-Courier, Woodford Times and Morton Times-News.",,2024-08-22 07:15:59.000,false
222984,Kevin Courtney,27376,Napa,California,US,"40353, 1541, 84961","Lifestyle, Wine, Entertainment, Regional News, Local News, Medicine, National News, International News, Physiology, Medical, University, Covid19, Community Development, Internet, Human Interest","Napa resident since 1973. City editor of the Napa Valley Register. Possessor of a Sunday column, A Napa Journal.",Kevin has been city editor since September 2010. He joined the Register in 1973 as a reporter. He covered Napa City Hall and assorted other beats over the years. Kevin has been writing his Napa Journal column on Sundays since 1989. Kevin has been city editor since September 2010. He joined the Register in 1973 as a reporter. He covered Napa City Hall and assorted other beats over the years. Kevin has been writing his Napa Journal column on Sundays since 1989. Kevin Courtney is a City Editor at Napa Valley Register. Kevin tweets on topics covering Community development and Local news. Kevin prefers being contacted by Email.,2024-08-22 07:15:59.000,false
158741,Allen Grove,37322,Alfred,New York,US,"11814","University, Education, Finance",College Admissions Expert for http://ThoughtCo.com ; Chair of the English Department at Alfred University,,2024-08-22 07:15:59.000,false
